,artistName,trackName,trackID,acoustincess,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0,Young T & Bugsey,Throw Me A Text,1cmX1KzDCfwAXaeq2WUBvE,0.425,0.856,200573,0.648,1.18E-06,1,0.0663,-6.05,1,0.0766,102.997,4,0.774,0
1,The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,0.00356,0.665,237520,0.718,7.18E-05,7,0.074,-5.385,0,0.0335,100.033,4,0.72,0
2,Holly Humberstone,Falling Asleep At The Wheel,5rqQv5jUcg58xsi1nuZDl9,0.736,0.662,203248,0.626,0,0,0.27,-8.3,1,0.221,121.828,4,0.321,7
3,Vistas,15 Years,5lmbiEhAum7m0lfijCdCYp,0.00317,0.583,169202,0.884,2.44E-06,10,0.0993,-4.965,1,0.041,107.537,4,0.441,32
4,Låpsley,Speaking of the End,05WcicrMesButARnfWkrJe,0.929,0.637,188800,0.209,0,8,0.0865,-17.192,0,0.091,119.929,4,0.446,26
5,Tinie Tempah,Top Winners (feat. Not3s),0V2D1l5uEi5p4z6ug7ENSo,0.247,0.572,171817,0.676,0,5,0.185,-4.078,0,0.352,136.85,5,0.709,48
6,Rudimental,Easy On Me,2CoGeoKIHd0dCwTt2cNA2L,0.0101,0.737,227953,0.834,0.924,10,0.127,-7.166,0,0.0484,127.013,4,0.691,0
7,Tove Lo,I'm Coming - Spotify Studios Recording,4C6EPWGYM3K3IIv4xzPL2X,0.00536,0.65,196558,0.625,0.000492,0,0.119,-10.122,0,0.0359,118.966,4,0.296,0
8,Nothing But Thieves,Is Everybody Going Crazy?,3CauBZqN2EuHTJo4sSpjbS,0.000499,0.621,237053,0.666,0.0768,6,0.0797,-7.079,1,0.0544,123.974,4,0.579,42
9,FISHER,Freaks,7f4rLiuUmeWCgkErVvJROi,0.00223,0.806,175255,0.869,0.775,1,0.123,-4.344,1,0.0544,124.01,4,0.785,0
10,Fredo,Scorpion,6TSmVFkttBEOR7N9LWU4zb,0.025,0.868,235482,0.408,0,4,0.104,-11.981,0,0.448,132.012,4,0.398,0
11,Smoothboi Ezra,Never Get Over,5sgHTL2XOXE5DVZ3u8FrnF,0.848,0.387,267273,0.286,5.82E-06,4,0.102,-10.256,1,0.031,109.913,4,0.156,0
12,Charlie Cunningham,Climb,0uLTeRXyja0M11dMB6ScAa,0.918,0.494,216587,0.352,0.413,4,0.108,-15.396,1,0.0298,157.851,4,0.191,25
13,Conan Gray,Wish You Were Sober,50JEoj7rigjIYJaPb0uMsZ,0.0146,0.7,168883,0.712,0,2,0.226,-5.229,1,0.0525,91.059,4,0.664,53
14,Mabes,Keeping The Noise Down,72FjoFfUQlEF2Zq0R7nhMF,0.225,0.464,168999,0.543,0.000373,3,0.145,-7.279,1,0.0523,86.782,4,0.47,0
15,John Legend,Actions,0KGgFs3yJ1aHGnEU8nHCqR,0.143,0.48,176467,0.894,0,2,0.206,-3.216,0,0.369,166.264,4,0.477,0
16,Don Diablo,Bad,1T4U8Q2DRfs6OUg8DEsRZf,0.406,0.791,169911,0.738,0.00826,0,0.159,-5.197,1,0.0732,123.927,4,0.666,0
17,Shura,elevator girl ft. Ivy Sole,3yMem9r5sAf6qYnLfORjle,0.0841,0.672,206658,0.423,0.00332,10,0.0528,-9.511,0,0.0672,81.952,4,0.653,29
18,Bruno Major,Old Soul,1424NuP4l8g7W3dvBTqx5F,0.422,0.801,186667,0.388,0.00532,6,0.104,-9.737,0,0.205,155.021,4,0.627,13
19,Kelsea Ballerini,the other girl (with Halsey),3CS5zwqrjggxlRD0QGJAva,0.419,0.583,201344,0.769,0,8,0.0988,-4.859,0,0.159,179.869,4,0.785,0
20,Big Tobz,Sugar Daddy (feat. Mr Eazi & Ms Banks),5fmDO7M4yqPnvpQGQo5ITB,0.233,0.768,213734,0.703,0.00102,9,0.19,-8.351,0,0.109,106.056,4,0.587,0
21,DJ Zinc,Bubble,6zujBX4CM7Glc7UiGInN5c,0.0575,0.818,141500,0.962,0.000763,5,0.0931,-2.817,1,0.055,127.005,4,0.9,0
22,All Time Low,Getaway Green,3pUJI1a0oZNHj9wRtZOf5O,0.00251,0.556,167042,0.899,0,4,0.08,-3.372,1,0.0711,102.056,4,0.831,49
23,Young T & Bugsey,More Than Me,42JXhKnh8op4qn46WzfqOc,0.428,0.776,222360,0.706,0,6,0.274,-6.12,0,0.051,106.047,4,0.847,0
24,Low Steppa,Wanna Show You,31Lors0F9PKAW3t61X5Dio,0.00519,0.682,146570,0.824,0.00694,3,0.154,-5.664,0,0.0599,124.976,4,0.766,0
25,Thundercat,Fair Chance,7iTzI1VrcYwgLJ8grjn99T,0.628,0.693,237700,0.504,0.4,9,0.111,-11.621,1,0.0402,105.021,4,0.254,49
26,Love Fame Tragedy,Multiply,3BvpGwc4arGoX38JTeYbjA,0.0525,0.444,176667,0.658,0,6,0.0996,-6.081,0,0.0659,183.845,4,0.354,0
27,Lilly Ahlberg,Hurting,4EhgRkERxLNhjr2EyLDEzi,0.0848,0.673,218728,0.568,0,7,0.104,-6.914,1,0.0284,91.027,4,0.146,0
28,Passenger,The Way That I Love You,7DZ8n63a46dU6iUyN9OeRl,0.714,0.508,159761,0.323,1.93E-05,1,0.118,-13.239,1,0.0347,120.861,4,0.472,0
29,The Weeknd,Scared To Live,4BGZF4oLbTL0pWm7C18pbv,0.108,0.453,191307,0.5,0,0,0.0934,-8.257,1,0.0692,87.983,4,0.221,0
30,Patricia Lalor,Sleep Talk,0f1Rrwq0BQktLugjgEGg3R,0.383,0.671,191095,0.36,0.212,0,0.12,-14.983,1,0.036,125.008,4,0.212,0
31,HoodCelebrityy,Run Di Road,6motja4C4U6oCgtojBTyCI,0.255,0.92,144000,0.801,0,11,0.0687,-3.886,0,0.236,95.006,4,0.66,0
32,Melanie C,Who I Am,2bgpF7aLazrxM7YMHdvYOX,0.143,0.655,212419,0.836,0.00171,7,0.11,-6.259,0,0.0357,120.008,4,0.445,0
33,Grace Davies,Addicted to Blue,1RwSUSDtHYNqqyeUWniOyk,0.493,0.726,205120,0.567,0,0,0.356,-7.128,1,0.107,105.016,4,0.461,0
34,Cavetown,I Miss My Mum,3dhR3sGrkj2G2TDY7frVzT,0.482,0.645,177224,0.303,2.06E-05,11,0.136,-14.237,1,0.0317,75.822,4,0.348,0
35,Josef Salvat,paper moons,6qKUEcBFe0tIuItLKHEiMr,0.358,0.573,207173,0.467,4.62E-06,7,0.0978,-8.549,1,0.0843,117.222,4,0.282,0
36,J Balvin,Amarillo,6zEgnpM0qYmHLDnh8WPejL,0.013,0.641,157733,0.857,0.00534,1,0.0695,-5.725,0,0.301,122.728,5,0.961,0
37,Perfume Genius,On the Floor - Edit,5vpiEyZAIpmyISHlfitNeD,0.356,0.402,225038,0.686,8.76E-05,9,0.29,-6.002,1,0.0425,118.13,4,0.629,27
38,B Young,Want2,4mR2yspriVT2l4qVLgep3v,0.419,0.747,176564,0.546,0,10,0.116,-6.645,0,0.354,153.993,4,0.418,0
39,Lukas Graham,Scars,0HCjXEQF533z8Z9LuX28cL,0.384,0.594,172000,0.409,0,4,0.123,-6.386,0,0.0394,99.914,4,0.189,0
40,Jasmine Jethwa,Empty Waters,7eUddvGdKiuVM0P2xPi5Eh,0.805,0.48,212409,0.166,0.000244,7,0.106,-12.842,0,0.0339,77.914,4,0.308,11
41,Will Callan,Forgiving & Forgetting,2bjaehHDbzs3VboTA0SV4c,0.129,0.632,216000,0.553,0,1,0.11,-8.847,0,0.0619,90.019,4,0.524,0
42,K CAMP,"Black Men Don’t Cheat (feat. Ari Lennox, 6LACK & Tink)",3G8JS0xH2X719fJorj2j0T,0.0272,0.608,212760,0.559,0,5,0.33,-7.041,0,0.364,131.942,4,0.484,0
43,Wallows,OK,0APAKxMXB7jdDs4kw1l30y,0.0112,0.72,193293,0.625,0.0076,7,0.0999,-6.274,1,0.0362,102.006,4,0.818,0
44,TOKiMONSTA,Come and Go,5ubdPrTGiEaSTE6SHr8wbP,0.164,0.583,181770,0.632,1.86E-05,10,0.101,-6.882,1,0.0509,174.011,4,0.231,0
45,Sarah Close,Stay,0PoOUab1FVY2r1d3MlnF7S,0.648,0.408,199680,0.176,3.07E-06,6,0.0904,-10.54,1,0.0363,95.967,5,0.228,0
46,Lous and The Yakuza,Solo,03HD0HsCmTtY1Dvlrb56rn,0.93,0.912,195640,0.322,0.000233,9,0.0746,-12.88,0,0.178,109.977,4,0.67,0
47,Tolü Makay,Let Me In,0Ootb4xVIZiItREtuFoPFc,0.178,0.522,268657,0.333,2.54E-06,7,0.0892,-10.771,1,0.0327,133.531,4,0.22,0
48,Roo Panes,Colour In Your Heart,2Rkbirn4OT9tkoOpCH6Xfr,0.666,0.554,231692,0.301,0.524,0,0.122,-12.581,1,0.0295,74.982,4,0.111,0
49,Footsie,Pepper Stew,4jJP5g88a2WsrHooe8FHmf,0.141,0.619,180700,0.749,0,7,0.211,-3.895,1,0.454,175.745,5,0.642,6
50,R3HAB,Creep,5LRxdeykOfvKb1aWGrrGyo,0.112,0.766,161190,0.611,0.000606,11,0.187,-9.251,1,0.0542,126,4,0.128,0
51,Eyelar,Couple Hours,6IzisZCRUduc77vCnatEI5,0.498,0.527,231764,0.398,0,2,0.372,-5.793,1,0.0332,134.639,5,0.117,0
52,dvsn,Between Us (feat. Snoh Aalegra),2ynqtdm2zE73wuNKjGItwp,0.0533,0.77,183750,0.458,1.53E-05,1,0.139,-10.663,0,0.105,127.956,4,0.177,0
53,Paul Weller,Earth Beat,72Rv39qNWpeIsDCw4afejt,0.0898,0.505,258467,0.731,0.191,10,0.142,-8.738,0,0.0469,113.336,4,0.364,21
54,Twinnie,I Love You Now Change,5p2d4HARrzR48lRdOqxLES,0.181,0.579,205907,0.765,0,1,0.103,-4.689,1,0.0508,92.949,4,0.733,0
55,Fred V,Light In The Distance,5Zpzt0byLqey0O8lI5DC1S,0.000844,0.595,226307,0.837,0.782,5,0.0921,-3.918,1,0.0531,173.987,4,0.291,0
56,NLE Choppa,Walk Em Down (feat. Roddy Ricch),4cSSL3YafYjM3yjgFO1vJg,0.268,0.867,173288,0.744,0,9,0.0713,-5.171,0,0.228,84.005,4,0.645,0
57,Fleur East,Mine,3yoRxSY2i4fNv1WBSeEllw,0.103,0.57,198605,0.709,4.06E-05,8,0.337,-7.975,1,0.261,180.075,4,0.559,0
58,Armaan Malik,Control,5NH6GqeHO5Zi4bJpPfnwPs,0.122,0.878,153356,0.533,0,11,0.174,-6.166,0,0.111,99.008,4,0.643,0
59,DMNDS,Let Me Down Slowly,57PVu9o2E13kooMKmwYYBY,0.0334,0.811,146007,0.921,0.442,5,0.138,-2.89,0,0.0559,115.996,4,0.365,0
60,Blanco,Shippūden,6fGEfSUTyHgQZTiIbRoffC,0.648,0.858,179595,0.363,1.12E-05,5,0.121,-12.029,0,0.31,130.205,4,0.908,0
61,aboutagirl,B-list,1csqC7ejKRU5Q9aQ5VbjQ3,0.0514,0.781,158121,0.565,9.52E-05,8,0.316,-4.885,1,0.103,139.938,4,0.952,0
62,Peter Sandberg,Unhold Me,6dVIFfl55kxGl3bAifMiMr,0.777,0.292,198433,0.382,0.519,1,0.1,-13.978,0,0.0514,89.351,4,0.0585,0
63,Rowan,Big Wave,7J3ebSM0Onp5gqeqCeSHeM,0.000107,0.655,207250,0.775,0.3,9,0.16,-7.188,1,0.0405,117.068,4,0.684,0
64,Benny Benassi,Everybody Hates Monday Mornings,1pC9O0szv1Du06VfKncPq8,0.0161,0.799,165120,0.951,0.862,6,0.22,-5.42,1,0.0727,124.968,4,0.645,0
65,Mastermind,War (feat. Bandokay),5fLvnG9XNRpQWwy8kNDTDk,0.461,0.748,153634,0.777,0,11,0.126,-5.173,1,0.155,102.921,4,0.593,0
66,RHODES,This Shouldn't Work,5emMvT62CP2ulTtk7Q1TsZ,0.507,0.375,194608,0.459,0,2,0.112,-6.279,0,0.0358,75.547,4,0.225,1
67,MJ Cole,90 Miles,58jTBCpkqF7iALAQZTupaG,0.771,0.134,223973,0.297,0.956,9,0.0648,-14.55,0,0.0359,169.893,4,0.0981,0
68,fika,Only One,3zcaY01sArulg5vgGExCyJ,0.155,0.721,249677,0.425,0.000177,1,0.344,-10.468,0,0.0304,93.029,4,0.406,0
69,Badly Drawn Boy,Banana Skin Shoes,5b5sFrn71picMyf57Xypni,0.00764,0.678,169253,0.786,0.0409,9,0.323,-7.207,0,0.0422,118.549,4,0.631,0
70,Jackson Wang,100 Ways,4mQMvcRtQou5yI8mjuJ1lf,0.318,0.801,168627,0.782,0,7,0.285,-7.081,1,0.241,109.955,4,0.613,0
71,Kydus,Gravity (feat. Jack Wilby),5UT2B1I7cmwjhewvMXiYf0,0.0943,0.615,193393,0.779,0.382,9,0.0673,-7.694,0,0.029,123.989,4,0.314,0
72,St Francis Hotel,We Both Lie,49ShN2e3Gzn4FYjfyEn6UB,0.167,0.672,237587,0.466,0.0107,7,0.0883,-8.025,1,0.0306,78.015,4,0.257,0
73,Baxter Dury,Say Nothing,2H0PmiXXrWKXaLdMfgM12e,0.0744,0.789,165053,0.502,0.00021,4,0.0742,-5.828,0,0.0396,106.009,4,0.534,0
74,Stealth,Other Lives,1oLS1ZxoPxsbJiiZddEFRl,0.827,0.575,192191,0.522,0,0,0.0917,-6.257,1,0.0369,104.973,4,0.245,0
75,Queenie,Letting Up Now,3XNlkb20lYum0okywiW3ry,0.0853,0.872,177528,0.544,0,8,0.204,-7.012,1,0.387,141.973,4,0.163,0
76,Purity Ring,peacefall,0u0i25AJrwbmfIDjgYsoA9,0.256,0.267,256733,0.637,3.75E-05,7,0.217,-9.803,0,0.0424,76.816,4,0.115,10
77,somegirlnamedanna,hello i am,77AtgJXeFRvoftJpP4UGpe,0.937,0.527,107923,0.143,9.21E-05,3,0.097,-10.121,0,0.11,75.228,3,0.536,0
78,Mt. Joy,Acrobats,6V0a6DbInYWS5iieAvUJLz,0.182,0.5,219067,0.624,0.713,7,0.116,-8.699,1,0.0294,150.16,4,0.17,39
79,BETHY,Utopia,5AMicHr3xgGScNF8DZBZWS,0.105,0.512,253012,0.718,0.0106,4,0.0686,-8.596,0,0.0765,165.96,4,0.475,1
80,All Tvvins,Hope It Don't,77Teq2eWa2AZsKeLD4ObuC,0.038,0.518,246561,0.679,0.000312,9,0.13,-7.017,1,0.0442,94.001,4,0.0399,0
81,Theo Kottis,Nothing to Lose,0zez18jzrKW4DieAJBo5y8,0.0373,0.727,264793,0.69,0.896,5,0.1,-10.827,0,0.0498,120.949,4,0.346,0
82,Eyez,Money Man,75HIeZbCIzYTh2UPYo5BTe,0.269,0.873,170408,0.669,4.28E-06,10,0.0876,-8.351,0,0.286,159.654,4,0.742,0
83,BluePrint,The Mind Is As Deep As You Make It,3Qn0ZuLGYCJeKOxMtdUOQX,3.35E-05,0.678,230551,0.759,0.865,4,0.109,-6.665,0,0.0545,126.996,4,0.171,0
